name,address,latitude,longitude,place
Holmenkollen Scandic Park,"Kongeveien 26, 0787 Oslo, Norway",59.962589,10.662336,Hotel
Yo! Sushi,"Jernbanetorget 1, 0154 Oslo, Norway",59.912331,10.750975,Restaurant
Casa Inferno,"Vestregata 2, 9008 Tromsø, Norway",69.648621,18.951467,Restaurant
Clarion Hotel The Edge,"Kaigata 6, 9008 Tromsø, Norway",69.647285,18.957175,Hotel
Tromsø Museum,"Lars Thørings veg 10, 9006 Tromsø, Norway",69.63679,18.922047,Museum
Universitat i Tromsø,"Hansine Hansens veg 18, 9019 Tromsø, Norway",69.681072,18.978287,University
Prestvannet,"9011 Tromsø, Norway",69.660167,18.943959,Park
Polaria,"Hjalmar Johansens gate 12, 9296 Tromsø, Norway",69.644767,18.954602,Museum
Polarmuseet i Tromsø,"Søndre Tollbodgate 11B, 9008 Tromsø, Norway",69.653483,18.971597,Museum
Kvitfjell,"Kvitfjellvegen 471, 2634 Fåvang, Norway",61.470949,10.137169,Park
Oslo Vinterpark,"Tryvannsveien 64, 0791 Oslo, Norway",59.988104,10.667426,Park
Tromsø Alpinpark,"Jadevegen 129, 9022 Tromsø, Norway",69.67697,19.070157,Park
Clarion Hotel and Congress,"Brattørkaia 1, 7010 Trondheim, Norway",63.442214,10.402197,Hotel
Pirbadet,"Havnegata 12, 7010 Trondheim, Norway",63.44066,10.400437,Park
NTNU,"Erling Skakkes gate 47A, 7012 Trondheim, Norway",63.429586,10.388636,University
